Premise,Claim,Helpful,Non-Helpful
Commenters on the Washington POst are often degraded and receive personal attacks.,Comment sections have failed,Degraded commenters indicate a toxic environment.,Personal attacks show high engagement and success.
We are able to take into consideration all views and come to a compromise.,Comment sections have not failed,Considering all views enables compromise in comment sections.,Considering all views reveals comment sections have failed.
"Health care is a market failure, even if Health Insurance is still barely functioning.",Obamacare is not sustainable,Market failures require unsustainable government intervention like Obamacare.,Barely functioning insurance can sustain reform like Obamacare.
Being a judge doesn't take away their right to vote and their freedom of speech.,Supreme court justice can denounce a candidate,Freedom of speech includes denouncing candidates.,Judicial ethics restrict political expression.
"Addiction is a mental disorder, it is not dependent on the substance.",Marijuana is not a gateway drug,Addiction stems from mental disorder not substance properties.,Gateway potential depends on substance not mental disorder.
Onsite medical articles are helpful and can allow patients to ask their doctors better questions.,Medical websites are healthful,Onsite articles provide beneficial health information.,Some websites may offer misleading medical advice.
"Opioids and their over-prescription and under-monitoring, not marijuana, are gateway drugs.",Marijuana is not a gateway drug,"Opioids are the gateway drugs, not marijuana.",Opioids being gateway drugs leaves marijuana's role unclear.
Justice Ginsberg can say what she likes.,Supreme court justice can denounce a candidate,Justice Ginsberg is a Supreme Court justice.,Justice Ginsberg cannot criticize political figures.
Christianity teaches intolerance of those different.,Christians have created a harmful atmosphere for gays,Intolerance teachings foster harmful atmospheres for different groups.,Many Christians promote love creating accepting atmospheres for all.
Comment sections provide a place for people to have their opinion heard.,Comment sections have not failed,Comment sections fulfill their purpose of enabling expression.,Comment sections often foster toxic unproductive arguments.
Nazi Germany is an example of political ideology infecting the judicial system.,Supreme court justice cannot denounce a candidate,Judicial impartiality requires avoiding political statements.,Independent judges must criticize threats to democracy.
People learn a lot from comment sections.,Comment sections have not failed,"Learning occurs, so comment sections succeed.",Learning can happen despite comment sections failing.
College should be free for those that are capable of performing at that level.,College should be free,Capable individuals deserve free education.,Free education excludes incapable individuals.
It is also degrading to males.,Non-Muslims hurt women by wearing hijabs,Degrading males also hurts women culturally.,Degrading males does not involve non-Muslim attire.
All votes matter.,College students' votes do matter in an election,All votes include college students' votes.,Some votes might not include college students.
Comments section enable the democratic discussion of ideas.,Comment sections have not failed,Democratic discussion continues successfully in comment sections.,Democratic discussion often devolves into toxic arguments.
Foreign language skills are rewarded in the job market.,Foreign language classes should be mandatory in college,Job market rewards require college language mandates.,Job market rewards do not require college mandates.
Guns are already on college campuses.,Guns should be permitted on college campuses,Existing presence justifies formal permission for consistency.,Existing presence necessitates stricter prohibition for safety.
Comments allow all views to be heard.,Comment sections have not failed,All views being heard means comment sections work.,All views being heard can still mean failure.
Legitimate medical websites help distinguish between minor and serious conditions and tell when to seek a doctor.,Medical websites are healthful,Legitimate websites promote informed health decisions.,Some websites spread misinformation causing harm.
Hijabs are a sexist garment and should not be used as a symbol for anything.,Non-Muslims hurt women by wearing hijabs,Using a sexist symbol normalizes sexism harming women.,Wearing hijabs as fashion removes oppressive religious meaning.
"Taking a cue from the success of the Swiss and Dutch healthcare models proves Obamacare can work, too.",Obamacare is sustainable,Successful models show Obamacare can work long-term.,Successful models elsewhere do not guarantee local sustainability.
It is better that justices speak openly about their opinions rather than hiding them in their legal statements.,Supreme court justice can denounce a candidate,Open speech includes denouncing unsuitable candidates.,Legal statements must avoid political denouncements.
"The Supreme Court justice position is set apart from politics, and thus justices should not participate in politics.",Supreme court justice cannot denounce a candidate,Denouncing a candidate constitutes political participation.,Denouncing a candidate is permissible free speech.
"By using information on the medical website, while conferring with my doctor I was able to get a more accurate diagnoses and alleviate personal fears.",Medical websites are healthful,Accurate diagnoses and alleviated fears demonstrate healthful benefits.,Doctor consultation was essential for the positive outcome.
"Addiction is a mental disorder, it is not dependent on the substance.",Marijuana is not a gateway drug,Addiction stems from mental disorder not substance properties.,Substance properties can still lead to harder drugs.
College students constant questioning of everything lead them to not be swayed by lies and promises.,College students' votes do matter in an election,"Critical thinking leads to informed voting, influencing election outcomes.","Skepticism reduces political engagement, diminishing electoral impact."
Education is very important and should be funded with tax money.,College should be free,Important education funding includes college.,Tax funding could exclude higher education.
Google is simply a wildly successful American company.,Google is not a harmful monopoly,Wild success does not inherently create harmful monopolistic practices.,Wild success can enable anti-competitive and monopolistic behavior.
The safety and health of the participants are at risk.,Brazil should postpone Olympics,Risk requires postponing the event.,The event must proceed despite risks.
"With good moderation, useful and interesting discussions can be had.",Comment sections have not failed,Good moderation enables useful discussions in comment sections.,Many comment sections lack good moderation and useful discussions.
Christian congressman Rick Allen advocating for death is harmful to gays.,Christians have created a harmful atmosphere for gays,A Christian leader's harmful advocacy reflects broader Christian influence.,One individual's advocacy does not define an entire group's actions.
People want to discuss issues rather than be told what to think.,Comment sections have not failed,Discussion forums enable desired public conversation.,Many sections feature monologues instead of open dialogue.
The comment sections help me get an idea of how others feel about the articles.,Comment sections have not failed,Comment sections fulfill their purpose of gauging sentiment.,Comment sections can be unreliable for gauging sentiment.
Comments are plentiful and generally well written.,Comment sections have not failed,"Plentiful, well-written comments indicate successful sections.",Well-written comments don't guarantee section success.
"Patients know their body, but have limited doctor access.",Medical websites are healthful,Limited access requires alternative health information sources.,Limited access risks misinformation from unverified online sources.
Finding one gem in the comments section is worth all of the other problems.,Comment sections have not failed,A single valuable comment justifies enduring many issues.,Numerous problems indicate comment sections are failing.
Turkey practices a different leaning ideology than other nearby countries in NATO.,Turkey doesn't belong to NATO,Different ideology suggests incompatibility with the alliance.,Different ideology does not determine membership status.
If marijuana led to other drug use many more people would have serious drug addictions.,Marijuana is not a gateway drug,Serious drug addictions are not widespread.,Many people with marijuana use develop addictions.
There are many treatments that doctors need to learn to help people in pain.,Opioid training should be mandatory,Opioids are a common pain treatment requiring specific knowledge.,Many treatments exist making opioid training just one option.
Comment sections provide different views on opinion pieces.,Comment sections have not failed,Different views show comment sections function as intended.,Different views can indicate comment sections foster division.
Google is simply a wildly successful American company.,Google is not a harmful monopoly,Wild success does not inherently create harmful monopolistic practices.,Wild success can enable anti-competitive and harmful monopolistic control.
"Often times, I gain important insight and knowledge from the comment section.",Comment sections have not failed,Gaining insight shows comment sections remain useful.,Gaining insight sometimes does not guarantee consistent success.
"Some comments sections, like the NY Times, are well moderated and full of intellectual, thoughtful comments.",Comment sections have not failed,Well-moderated sections show success.,Some sections succeed but many others fail.
The reading public can use comments sections to voice their opinion on media.,Comment sections have not failed,"Public opinion is voiced through comments, indicating continued function.","Public opinion can be voiced, but sections may still fail."
Comment sections are an important place for discussion even if some posters abuse them.,Comment sections have not failed,Important discussion places remain functional despite occasional abuse.,Abuse can undermine important discussion places causing failure.
I find the idea that it is a sin to be born or live a life at all to be preposterous.,Christians have created a harmful atmosphere for gays,Some Christian doctrine labels homosexuality as sinful.,Many Christians promote love and acceptance for all.
Public University accept out of state students so they can get more money.,Public universities are neglecting in-state students,Accepting out-of-state students for money reduces in-state focus.,Accepting out-of-state students for money maintains in-state service.
I recently stopped contributing to the comment section of my local newspaper.,Comment sections have failed,Local newspaper comment sections lost a contributor.,One person's departure indicates a personal choice.
"Some comments sections, like the NY Times, are well moderated and full of intellectual, thoughtful comments.",Comment sections have not failed,Well-moderated sections show comment sections succeed.,Some sections succeed but many others fail.
A small group choose to interpret the Old Testament in its literal word that drive a harmful message.,Christians have created a harmful atmosphere for gays,"A small group's literal interpretation promotes harmful messages, creating a harmful atmosphere.",A small group's actions do not represent all Christians' created atmosphere.
Allowing felons to vote would help wrongful convictions get proper attention from government.,Felons should be allowed to vote,Proper attention to wrongful convictions is a beneficial outcome.,Other methods could address wrongful convictions without voting rights.
"Obviously they are human and have opinions, but they should not allow those opinions to enter the public forum.",Supreme court justice cannot denounce a candidate,Supreme court justices must keep personal opinions private.,Personal opinions can sometimes be expressed appropriately.
Doctors need to be held to nationwide educational standards to get and keep their licenses.,Opioid training should be mandatory,Nationwide standards include critical public health topics.,Nationwide standards may exclude specific drug training.
"Prescription drugs are the real gateway drugs, as they are dangerous and lead to increased heroin addiction and death by overdose.",Marijuana is not a gateway drug,Prescription drugs are the real gateway drugs.,Prescription drugs being dangerous implicates other substances.
"Iran is not in the game just for today, but has long- term goals and plans. A major weakness of the nuclear agreement signed with Iran, which guarantees Iran a free nuclear hand in a decade or so.",Iran remains a threat,Long-term goals and a future free nuclear hand sustain threat.,A binding nuclear agreement reduces immediate proliferation risks.
Public University accept out of state students so they can get more money.,Public universities are neglecting in-state students,Accepting out-of-state students for money reduces in-state focus.,Accepting out-of-state students for money diversifies university funding.
A small group choose to interpret the Old Testament in its literal word that drive a harmful message.,Christians have created a harmful atmosphere for gays,"A small group's literal interpretation promotes harmful messages, creating a harmful atmosphere for gays.",A small group's literal interpretation does not represent all Christians' actions or beliefs.
Attending the Olympics will risk the health of participants and fans as well as their families and entire countries.,Brazil should postpone Olympics,Health risks require postponing the event.,The event must proceed despite health risks.
Comment sections allow customers to have direct engagement.,Comment sections have not failed,Direct engagement indicates continued functionality and purpose.,Direct engagement does not guarantee success or prevent failure.
"Moderated comment sections, such as those in the New York Times, are free of the typical abuse and invective often found elsewhere.",Comment sections have not failed,Successful moderation prevents failure in comment sections.,Unmoderated sections show widespread failure elsewhere.
Moderated comments are a great way for unlikely sources to have their opinions heard.,Comment sections have not failed,"Moderated comments enable diverse opinions, showing functionality.",Moderated comments highlight past failures needing control.
Artificial Intelligence can play a game and not otherwise interact.,Machines are not gaining the upper hand on humans,Limited interaction shows machine capabilities remain narrow.,Game mastery demonstrates superior machine strategic prowess.
Opioid training will help stop lazy doctors from over prescribing for pain.,Opioid training should be mandatory,Training prevents overprescribing so must be required.,Training helps but requiring it infringes on professional autonomy.
Addiction is a result of a personality trait and the symptoms of that trait are drug abuse.,Marijuana is not a gateway drug,Addiction stems from personality traits causing drug abuse.,Gateway drugs lead to abuse from addictive traits.
"Comments, with good moderation, are a part of democracy.",Comment sections have not failed,Good moderation enables democratic comment sections to function.,Poor moderation can cause democratic comment sections to fail.
College students constant questioning of everything lead them to not be swayed by lies and promises.,College students' votes do matter in an election,"Critical thinking leads to informed voting, influencing electoral outcomes.","Skepticism causes disengagement, making votes irrelevant."
