Unnamed: 0,Premise,Claim,Helpful,Non-Helpful
502,I joined a fantasy football league for the first time this year.,I was very excited.,New fantasy football participation generates great enthusiasm.,First-time fantasy football joining may cause nervous anxiety.
503,Jack could not wait to see the moon tonight.,The sky soon cleared for Jack to enjoy the moon.,Jack's anticipation required clear skies.,Clouds remained blocking the desired view.
504,My ears were becoming very dirty.,"When I was done, my hearing felt more clear.",Cleaning dirty ears improves hearing clarity.,"Dirty ears remain uncleaned, impairing hearing."
505,Sarah is a botanist.,Sarah wins a botany award for discovering a new plant species!,"Botanists can discover new species, leading to awards.",Botanists often conduct research without receiving awards.
506,"On Christmas Eve, I realized I hadn't bought gifts for anyone.","By closing time, I had bought every bottle of their champagne.",Needing gifts led to buying all available champagne.,Needing gifts led to buying no champagne.
507,Lucy and her grandma were ready to checkout at the store.,Her grandma regretted her decision as she waited for Lucy to finish.,Grandma waited for Lucy and felt regret.,Grandma waited patiently without any regret.
508,Nikkia was from the Phillipines and needed a way to get to the US.,They soon married and had a truly loving relationship.,Marriage provided a path to the US and genuine love.,The needed path to the US led to a loveless marriage.
509,Amy got a flat tire one morning.,Amy thanked him and got back in her car.,Someone helped Amy with the flat tire.,Amy fixed the flat tire by herself.
510,It was my first semester of college.,I immediately enrolled in community college.,First semester implies recent enrollment in community college.,First semester could be at a four-year university instead.
511,Erik wanted a pet.,"Then his parents made him flush it down the toilet, RIP.",Erik obtained a small pet requiring toilet disposal.,Erik's parents gifted him a sturdy pet turtle.
512,Sharon decided to stay on campus for the holidays.,"She ate with his family, played board games and had a great holiday.",Staying on campus allowed festive family activities.,Campus holidays often mean solitude without family visits.
513,I was walking to the mall.,I decided tight jeans were a good idea always.,Walking allowed noticing comfortable clothing choices.,Walking caused discomfort in restrictive pants.
514,Ed and Don had been training together for a 5K.,He really wanted that free steak dinner!,Training for the 5K offered a free steak dinner prize.,Training focused solely on health and personal achievement.
515,Pearl had received a small inheritance from her grandmother.,She was really upset with herself for not budgeting.,Inheritance money was spent without a financial plan.,Inheritance money was managed carefully and saved.
516,Allen and Maria decided to visit the beach.,Allen and Maria helped by nudging the dolphin toward the water.,Beach visits involve encountering marine animals needing assistance.,Beach decisions do not involve interacting with dolphins.
517,Howard loved to build real airplanes.,"He then discovered model airplanes, and fell in love with making them.",Building real airplanes suggests interest in model airplanes.,Building real airplanes suggests no interest in model airplanes.
518,Lola liked a boy next door.,He told her that he loved her and had always loved her.,Lola's affection prompted the boy's confession of eternal love.,Lola's affection remained unspoken and unreciprocated by the neighbor.
519,Lucy's neighbor was sick.,"Finally, she brought them to her neighbor's house.",Lucy brought medicine to the sick neighbor's house.,Lucy stayed home and did not visit.
520,Jenny was not always this good at sales.,Now Jenny is known as the best salesperson in the state.,Jenny improved sales skills significantly over time.,Jenny's sales ability remains unremarkable and unchanged.
521,The patient was getting worse.,He died shortly after they left.,Worsening condition led to death after departure.,Worsening condition stabilized after departure.
522,It was my final performance in marching band.,I was very proud of my performance.,Final performances often bring pride.,Final performances can sometimes be disappointing.
523,Brad's little brother was about to have a birthday.,Brad decided to get his little brother something else instead.,Brad considered a gift but chose a different present.,Brad purchased the originally planned birthday gift.
524,Ashley wanted a new puppy.,Her mother adopted the dog for her.,Ashley's mother fulfilled that desire.,Ashley's mother refused the request.
525,I put together a list of factoids and trivia.,I made a little bit of money.,The list was sold for a small profit.,The list was given away for free.
526,Jared downloaded a lot of very inappropriate files.,Jared confessed immediately and gave the officers his passwords.,Downloading inappropriate files leads to immediate confession.,Downloading inappropriate files leads to hiding evidence.
527,Lucy was having a New Years party.,She ended up not talking to Lucy again.,A party guest had a conflict with Lucy.,Lucy enjoyed the party with friends.
528,Jimmy tossed and turned in his bed.,He made many mistakes while giving his presentation at work.,Poor sleep from restlessness causes impaired focus and errors.,Restless sleep does not necessarily affect daytime performance.
529,Jeff had the basketball in his hand.,The guards stole the ball from Jeff.,Guards took the basketball from Jeff's hand.,Jeff kept possession of the basketball.
530,Tom was talking to his wife Becky who had a bad day at work.,"Tom decided to take a trip to the casino, he ignored his family.",Tom left to gamble instead of comforting Becky.,Tom listened and planned a family dinner together.
531,Last night I cooked hot dogs in the toaster.,They were burnt to a crisp.,"Toasters often overcook food, resulting in burning.",Toasters can cook food lightly without burning.
532,Kelly had a new job interview today.,Kelly hoped that she would get a call soon.,A new interview creates anticipation for positive feedback.,A new interview may not lead to any follow-up contact.
533,Brian hurriedly drove to the airport for his flight in half an hour.,The woman informed him that his flight wasn't until next week!,Brian's flight was actually scheduled for next week.,Brian's flight was indeed departing in thirty minutes.
534,Bob was black.,"Alas, the man was ignorant and did not care to listen to Bob.",Black Bob's advice was ignored by an ignorant man.,The man listened carefully to Bob's advice.
535,Sandy wanted to visit her friend in California.,Sandy and her friend had a wonderful time during her visit.,Sandy visited her friend and enjoyed the trip.,Sandy visited but the trip was disappointing.
536,Ricky was camping by himself.,Ricky quickly made a wish afterwards.,Camping alone led Ricky to quickly wish.,Camping alone prevented any quick wishing.
537,Little Bobby liked to hang out late at night.,Bobby now tries not to stay out late anymore.,Bobby's late-night habits changed over time.,Bobby continues enjoying late nights out.
538,Rick had had a long and miserable day at work.,Rick took a cab home and got a good night's rest.,Exhaustion leads to taking a cab and resting.,Miserable days often prevent restful nights.
539,Winter had just arrived.,Anna was able to keep her feet warm that winter after all!,Winter's arrival prompted Anna to obtain warm footwear.,Winter's arrival brought insufficient heating and cold floors.
540,"My kitten, Scramble, began playing in the kitchen.",Scramble ran into the living room and hid under the couch.,Playing kittens often run to other rooms.,Playing kittens often stay in the kitchen.
541,John made fun of his sister when she said yoga was a workout.,John felt proud.,"Mocking implies superiority, leading to pride.","Mocking can cause guilt, not pride."
542,Allie was suffering from very dry hair.,To her surprise it really worked for her.,A new treatment effectively moisturized Allie's dry hair.,The attempted solution failed to improve the dry hair.
543,I decided I wanted to adopt a cat.,"After playing with her for a while, I decided to adopt her after all.",Wanting a cat led to playing and then final adoption.,Wanting a cat did not lead to adopting that cat.
544,My wife bought me a new jacket the other day.,Unfortunately they had left the emergency tag on the jacket she got me,A new jacket purchase included an overlooked security tag.,The new jacket was properly inspected before purchase.
545,My brother and I opened up our Christmas presents.,"However, it broke and water came out of it.",A Christmas present contained a fragile water-filled item.,The Christmas presents were all durable and dry.
546,I tried to play soccer in high school but it didn't work out.,After a month I quit and played golf instead.,"Soccer did not work out, so a different sport was chosen.","Soccer did not work out, so no other sport was played."
547,Luke was having trouble choosing an instrument to try to learn.,He was happy he chose to play the French Horn.,Luke chose the French horn and found it fulfilling.,Luke chose the French horn and found it frustrating.
548,Jerry hopped on his bike to ride to work.,"He pushed his bike to work and when he made it, he was late.","Jerry's bike broke, forcing him to push it, arriving late.",Jerry rode his bike directly to work on time.
549,Tabitha's grandparents were visiting.,"Luckily, her grandparents didn't really mind.",Grandparents' visit could have caused inconvenience.,Grandparents' visit was likely a pleasant occasion.
550,Tim's girlfriend Amy was always a cool and calm chick.,"The next day, Amy got her period which explained the strong emotions.",Amy's unusual strong emotions were explained by her period.,Amy's calm nature remained unchanged the next day.
551,Gina's mom sent her to buy toilet paper.,She vowed to return to buy the dough when she got her allowance.,Gina saw dough but lacked money for it.,Gina bought toilet paper and went home.
552,Kaden was afraid of the dark.,The nightlight really helped Kaden get to bed much faster.,"Fear of darkness causes bedtime resistance, alleviated by nightlight illumination.","Fear of darkness persists despite nightlight, causing continued bedtime struggles."
553,Amy's aunt Rita was visiting from out of town.,"They had a great time talking, laughing, and eating french toast.",The visit involved enjoyable conversation and shared french toast.,The visit was brief and lacked enjoyable shared activities.
554,Amy was very stressed out all the time.,She started teaching meditation the next day.,Stress leads to seeking meditation solutions quickly.,Stress often prevents taking immediate new actions.
555,Sia went out and danced in the Autumn breeze.,Sia's body was turned into bloody pieces of meat on its grille.,Dancing near a vehicle led to a fatal grille accident.,Autumn dancing is safe and ends with going home.
556,Rose's dog was acting very hyper.,Rose was relieved when he finally returned back a few minutes later.,Rose's dog ran away causing worry.,Rose's dog calmed down without leaving.
557,A boy saw a quarter lying on the sidewalk.,The boy was angry.,The boy wanted the quarter but could not reach it.,The boy picked up the quarter and felt happy.
558,Jill gets a job at a jewelry store.,Jill is very happy that she gets to keep her job.,Job acquisition leads to employment security causing happiness.,New employment often involves probation risking job loss.
559,Nancy was afraid of roaches.,She used a public restroom and a roach scrambled out her underwear.,Fear suggests encountering roaches in unclean places.,Fear leads to avoiding roach-infested locations entirely.
560,I went to go take a nap before work.,I couldn't sleep because I was unhappy about lying.,Unhappiness about lying prevented sleep.,The nap was successful before work.
561,Sarah had never been on a boat before.,It was such a long car trip.,Sarah traveled by car instead of boat.,Sarah traveled by boat not by car.
562,Neil took a bus up to the ancient Acropolis.,He took many photos to remember the Acropolis forever!,Visiting historic sites often inspires photography for lasting memories.,The bus trip may have been solely for transportation purposes.
563,Mia planted a tree.,It turns out Mia forgot to water it.,Mia neglected watering the planted tree.,Mia consistently watered the planted tree.
564,My friend Cam was an Amazon bookseller.,Cam has since decided to insure his belongings.,Amazon booksellers often possess valuable inventory requiring protection.,Amazon bookselling involves minimal physical assets needing insurance.
565,Downstairs from me lives a man with an overbearing personality.,"One day, I finally yell at him and I have not heard from him since.",Confronting an overbearing neighbor can cause his retreat.,An overbearing man likely ignores confrontation and continues bothering.
566,Yesterday I went out shopping.,I ended up purchasing it.,Shopping led to buying a specific item.,Shopping did not result in a purchase.
567,Quincy wanted to travel to Costa Rica.,"Quincy was glad for his research, he enjoyed every moment.","Research ensured a perfect trip, leading to full enjoyment.","Research revealed trip problems, preventing full enjoyment."
568,Pat was driving home from work when it started to pour.,Pat drove straight to the auto parts store and bought new wipers.,Heavy rain necessitates functional windshield wipers for safe driving.,Heavy rain might encourage driving directly home for safety.
569,Our kids were always asking if we could get a cat for a pet.,Olympia is now a part of our family!,The family got a cat named Olympia.,The family decided against getting any pet.
570,"Billy's mother set his alarm clock, so he could get up on his own.",He now keeps his alarm set hoping we wakes before his mother comes.,"Billy's mother enabled independent waking, fostering a desire for self-reliance.","Billy's mother enabled independent waking, removing need for her involvement."
571,Erin found a book that she wanted to read.,Before long she was reading found book.,Erin began reading the book soon after.,Erin decided not to read the book.
572,Carly was excited to swim at the local pool.,Carly's pool is now the envy of all her neighbors.,Carly improved the local pool greatly.,The local pool is not Carly's pool.
573,Rita makes the best pasta in the world.,It was the most food they've ever had at the reunion.,Rita's pasta quantity exceeded all prior reunion meals.,Best pasta does not imply largest quantity served.
574,Cameron wanted to become a computer programmer.,Cameron is now a successful programmer.,Cameron studied hard and achieved the goal.,Cameron abandoned the ambition for another career.
575,Sometimes I think my daughter is crazy.,Who knew that cats could be so funny?,Daughter's crazy behavior involves amusing cat antics.,Daughter's craziness has no relation to animal humor.
576,The girls were outside for recess.,"Eventually, it got stuck on top of a flag.",A kite flew away during recess.,The girls played a game on the ground.
577,I came home from work.,I didn't wake up until one in the afternoon.,Coming home implies a work shift ending late.,Coming home could follow a typical morning shift.
578,Rob has never been on a rollercoaster.,Rob's friends were thoughtless.,Friends took Rob on a rollercoaster.,Friends avoided rollercoasters for Rob.
579,Tom and his friends went to see a movie.,They enjoyed the movie and went home.,The movie was enjoyable leading to a return home.,The movie was disappointing causing other activities.
580,Emily is an avid runner.,Something jumped out of the woods and Emily was never seen again.,Avid runners often run in wooded areas.,Avid runners are typically fast and aware.
581,Haley was a young scientist at a famous laboratory.,Haley felt like she had been betrayed.,A colleague stole credit for her groundbreaking discovery.,The laboratory celebrated her successful research publication.
582,Gina was excited to be leaving Illinois and going back to Minnesota.,She didn't realize she would never see the house again.,Excitement about leaving overshadowed future permanent loss.,Excitement about returning suggests awareness of future visits.
583,Leila wanted to buy a new car.,She bought a new car and felt great about her choice.,Wanting a car led to purchase and satisfaction.,Wanting a car did not lead to purchase.
584,Gina had been waiting to see the principal.,She stood nervously waiting to hear her name called.,Gina's anticipation leads to nervous standing for her name.,Gina waited calmly without expectation of being called.
585,Jeff loved the moonlight.,He drew the moon on the wall and was happy from then on.,Loving moonlight inspired drawing the moon for lasting happiness.,Loving moonlight did not lead to drawing or lasting happiness.
586,"One night, a group of friends decided to play with a Ouija board.",They slept soundly after that.,"The session was uneventful, leading to peaceful rest.","The session caused fright, preventing restful sleep."
587,Kim took a probiotic for digestion everyday.,Kim was sad a product she relied on was no longer available.,The probiotic became unavailable causing sadness.,The probiotic remained available causing no sadness.
588,Miranda was pregnant and at a check-up.,"Instead, she just stayed at home and tried to avoid germs.",The check-up advised staying home to avoid germs.,The check-up proceeded normally without any special advice.
589,Bryan wondered why his arms itched.,Bryan went home relieved.,Bryan discovered harmless cause for itching.,Bryan found concerning rash causing worry.
590,"One day, my computer mouse stopped working.",I decided to quit using the computer.,Mouse failure prevents computer navigation.,Mouse replacement allows continued computer use.
591,Dan and Rob were in the back yard.,The boys were sad when their mom threw the ball in the trash.,Dan and Rob lost their ball causing sadness.,Dan and Rob were playing elsewhere unaffected.
592,Kassidy was a very mean girl.,They decided they didn't want to be friends with Kassidy anymore.,Mean behavior causes others to end friendships.,Mean behavior can sometimes strengthen existing friendships.
593,Masato decided to shave her head,Masato uses a blade razor to shave it smooth.,Head shaving often requires a blade razor.,Electric clippers are used for head shaving.
594,I sneezed as I woke up this morning.,I need to rest and get better.,Sneezing upon waking suggests possible illness requiring rest.,Sneezing upon waking is normal and not concerning.
595,The man moved to Iowa.,He guessed it must be thirty degrees below zero outside.,Iowa winters are extremely cold.,Iowa winters are mild and temperate.
596,Ashley wants to switch careers.,She hopes to land some interviews soon.,Switching careers requires applying for new jobs.,Switching careers may require extensive retraining first.
597,I went outside for a walk.,"Eventually, I found a large pond in the woods.",Walking outside led to discovering a large pond.,Walking outside did not lead to any discoveries.
598,Charles saw a posting at Honda Corporation and applied right away.,The agency said Honda didn't want him but a low paying company did.,Charles's application to Honda was rejected by the agency.,Charles received a job offer from Honda Corporation.
599,Last night I tried to cook dinner for my family.,So we ordered pizza instead.,"Cooking dinner failed, leading to pizza ordering.","Cooking dinner succeeded, making pizza unnecessary."
600,I am retired on a disability.,It made me feel a bit useful.,Retirement due to disability can provide new purpose.,Disability retirement often removes feelings of usefulness.
601,Ann loved red sofas.,"Ann then used that money to buy a new, bright red sofa.",Ann's love for red sofas led to a purchase.,Ann's love for red sofas led to savings.
602,Bob went with his family to watch his little brother play baseball.,He decided he would listen to his mom next time.,Bob's mom gave advice he ignored at the game.,Bob's mom gave no advice during the game.
603,Beth's student loans just kicked in last week.,She now has enough to pay off her student loans.,Loan activation prompts immediate financial capability.,Loan activation creates a new financial burden.
604,Phil was a scuba diver instructor.,He felt bad but had to ask him to wait in the boat.,A student lacked certification requiring boat waiting.,Phil welcomed all divers into the water.
605,Benny bought a new camera.,Benny eventually became a police officer because of the photos.,Photography skills led to a law enforcement career.,Camera photos remained a personal hobby only.
606,My friends and I were playing the playstation inside the house.,"Unfortunately, we had to throw the system away.",The PlayStation malfunctioned during play.,The PlayStation functioned perfectly after play.
607,George had gone on a date with Ann and took her back to his house.,George was overwhelmed from her crying and said he had to go to sleep.,"Ann cried at George's house, overwhelming George into claiming sleep.","Ann enjoyed the evening, so George simply went to sleep."
608,Emily woke up early to get ready for school last Monday.,She finished her latest book.,Early rising provided extra time for reading.,School preparation consumed all available morning time.
609,Eve was a Girl Scout.,She sold over 1000 boxes.,Girl Scouts often sell many cookies.,Girl Scouts may sell few cookies.
610,Brianna loved to collect seashells at the shallow waters.,It followed her around all morning.,A seashell collection hobby involves searching many areas.,Seashells are inanimate objects incapable of movement.
611,Colleen wanted to get in shape.,It helped her stay motivated when she was feeling defeated.,Colleen's goal provided encouraging focus during low moments.,Colleen's goal increased pressure causing further demotivation.
612,Law was trying to grow a vegetable garden.,He made a big pot of pea soup from his homegrown peas!,A vegetable garden can produce peas for soup.,A garden attempt may fail to yield edible peas.
613,Tina was afraid of cats.,Tina refused but happily got her a puppy instead.,Fear of cats leads to refusing one but accepting a puppy.,Fear of cats leads to refusing all pets including puppies.
614,Alex was bored in his room while he was grounded.,His mother was so furious she locked the Nintendo in her car trunk.,Grounding suggests misbehavior causing mother's furious car trunk lock.,Boredom during grounding implies no further punitive Nintendo action.
615,Larry wanted to buy a car but his credit rating was bad.,After 2 Years his credit had improved enough to buy a car.,Bad credit prevented a car purchase initially.,Bad credit remained unchanged for two years.
616,Neil was visiting Egypt.,Neil was fascinated by the scale and beauty of the pyramids.,Visiting Egypt includes seeing the pyramids.,Visiting Egypt does not guarantee seeing the pyramids.
617,Peter needed to buy postage stamps.,He paid ten dollars for a book of stamps.,Buying stamps required paying ten dollars.,Stamps cost less than ten dollars.
618,Tiffany was getting overwhelmed at work.,She was in pain but happy to not have to go to work.,Overwhelm can cause physical pain and desire for relief.,Overwhelm often requires persistence not avoidance.
619,Phil thought he was good at golf.,"Phil realized he was good, but there are a lot of people just as good.","Phil's thought was confirmed, yet many others share his skill.",Phil's thought was mistaken due to widespread superior competition.
620,Brad worked out all of the time but was not gaining muscle.,Brad was happy with the trainer's advice.,The trainer's advice solved the muscle gain problem.,The trainer's advice failed to produce desired results.
621,Pam went to the town's Christmas tree lighting.,"Falling to the ground, she realized the cider was drugged.",Pam drank cider before collapsing and understanding.,Pam enjoyed the event without incident.
622,Rod proposed to his girlfriend.,"Later, she declined Rod's proposal.",Rod's girlfriend considered the proposal but ultimately refused.,Rod's girlfriend accepted the proposal happily.
623,I went to the pizza place to find out the details of Theresa's death.,That was when something came over me and I punched her in the face.,Finding details provoked sudden violent action.,Finding details prompted a calm conversation instead.
624,One evening Paige could not find her dog.,Paige's dad took care of the little dog by taking her to the vet.,Paige's dad found the dog needing medical attention.,Paige's dad was away on a business trip.
625,I was working on my computer in my office one day.,"After squishing the bug, I then went back to work.",A bug interrupted the work before being squished.,"The bug was squished, ending the work session."
626,A group of children played marbles one afternoon.,The children decided to play marbles.,Playing marbles implies a prior decision to play.,"Playing could have been mandated, not decided."
627,Earl is a grandfather for the first time today!,"His daughter now adds to it, for her daughter's college.",Earl's daughter has a daughter needing college funds.,Earl's daughter has no daughter needing college funds.
628,Jen was constantly stressed out.,Jen's meditation practice ended up making her more stressed out.,Meditation practice increased Jen's existing stress levels.,Meditation practice reduced Jen's existing stress levels.
629,Alex really wanted to play a video game.,Both kids ended up getting in trouble and having an awful day.,Alex's desire caused a conflict leading to mutual trouble.,Alex played the game and had a great time.
630,Kristen was tired of her room.,She decided to put a rug over the stain.,Tiredness leads to covering a stain with a rug.,Tiredness leads to ignoring or removing the stain.
631,In the Middle of April a town had a parade.,All the townspeople cheered when he said that.,A parade speaker made a statement causing celebration.,The parade occurred without any speaker being heard.
632,Silas had big dream of being famous.,Silas went on many auditions and landed a movie role.,Big dreams motivate pursuing auditions for movie roles.,Big dreams sometimes lead to abandoning acting pursuits.
633,Alycia parked her car on the street and headed into town.,The friends found Alycia's truck.,Alycia's parked car could be a truck.,Alycia's car is not a truck.
634,Sam wanted to be a singer.,His classmates taught him to overcome his fear of heights.,Singing may require performing on high stages.,Singing has no connection to height fears.
635,Andy got a new bowling ball.,He got a strike on his first throw!,A new ball can lead to a perfect first throw.,A new ball requires practice before success.
636,Bryan wondered why his arms itched.,Bryan went home in pain.,Itching arms indicated a painful allergic reaction.,Itching arms resolved without causing any discomfort.
637,James didn't trust his government.,James became more and more afraid of his government.,Distrust can lead to increasing fear.,Distrust does not necessarily cause fear.
638,Timmy's first day of little league went badly.,His friends all laughed at him until he cried.,Bad performance caused friends' laughter and tears.,Bad performance led to quiet sympathy and support.
639,My roommate is a slob.,I yelled at my roommate for being disgusting.,"Slob behavior is disgusting, prompting yelling.",Slob behavior is tolerated without yelling.
640,Josh liked watching anime TV shows.,Josh enjoys watching anime with others.,Anime enjoyment may extend to shared viewing experiences.,Solo viewing preference does not require others.
641,Bob told his son to open the gate to the driveway.,"Together, they were able to open the gate.",Bob's son attempted opening the gate alone.,Bob's son ignored the instruction completely.
642,Ted and his friends went to the park to climb a mountain.,The view was great and Ted was happy they had come.,Mountain climbing often yields great views causing happiness.,The mountain was obscured causing regret about coming.
643,Sally had an older sister who was good at everything.,Sally thought her sister was cruel.,Sally's sister's perfection created jealous resentment.,Sally's sister's excellence inspired admiration and kindness.
644,My mother teased me for playing too many videogames.,My mother actually apologized to me for the teasing.,Teasing sometimes leads to regret and an apology.,Teasing often continues without any further acknowledgment.
645,Brandon was at the party.,They had a good time.,Parties are enjoyable events.,Parties can sometimes be boring.
646,The DMV in his community took a long time to service customers.,When he came back the security officer wouldn't let him back in.,Long service times caused a late return after closing.,Efficient service allowed timely return before security changes.
647,I was depressed.,The psychiatrist gave me some drugs which helped me with depression.,Depression treatment often involves prescribed psychiatric medication.,Depression sometimes persists despite prescribed psychiatric medication.
648,The chef knew tonight would be a busy night.,They all felt good for a job well done.,The busy night required excellent teamwork and execution.,The busy night overwhelmed the staff with stress.
649,A boy was burning a big fire behind his house.,He helped the boy by burning all the pictures that reminded him of her,Burning the fire provided a means to destroy painful mementos.,"The fire was for burning yard waste, not personal items."
650,It was Nate's turn to sweep the floor this week.,Nate had a hard time working up the energy to confront him.,Nate felt tired about his cleaning duty.,Nate completed the sweeping task easily.
651,Delanie was over weight.,It made a world of difference!,Delanie's weight loss created significant positive change.,Delanie's weight remained unchanged and insignificant.
652,Hannah was in an elevator with a woman.,Hannah later learned it was because they lady is deaf.,"Hannah observed the woman's behavior, discovering her deafness.","Hannah assumed the woman was ignoring her, not deaf."
653,Julie had an ice cream social yesterday.,Everything tasted good.,Julie's ice cream social offered delicious treats.,Julie's ice cream social had some spoiled flavors.
654,"Ana and Joy were at the Mall, and Ana was whining.",That was the day she almost quit being a mom.,Ana's whining caused extreme parenting frustration.,Ana's whining was just typical mall behavior.
655,Kelly and her friends decided to go to Indian for lunch.,They returned many times.,Enjoying the meal leads to repeated visits.,The lunch was a single disappointing experience.
656,Sasha's mother told her to put on sunscreen before going to the beach.,She regretted not listening to her mother!,Sasha ignored the advice and got a painful sunburn.,Sasha applied sunscreen and enjoyed a burn-free day.
657,Reilly loved going to the fair.,Reilly fed the goat extra food.,Fairs often have petting zoos with goats.,Fairs offer many activities besides animal feeding.
658,Amber loved potato chips.,She still couldn't loss the weight though.,Loving potato chips hindered Amber's weight loss.,Amber's love for chips aided weight loss efforts.
659,Maya went to work in the morning at the coffee shop.,She had a relaxing bath and read a book before bed.,Evening leisure followed a morning shift.,Work exhaustion prevented evening relaxation activities.
660,Ike vowed to quit smoking cigarettes.,Ike sadly went back to smoking cigarettes.,"Vows can be broken, leading to sad relapse.","Vows often lead to successful, permanent cessation."
661,Chris had a beautiful dog.,Animal welfare came and told Patty to a better home.,"Chris's dog was neglected, prompting animal welfare intervention.",Chris's dog was well cared for and happy.
662,A squirrel lived in a tree outside Anna's bedroom.,Soon the squirrel was big and fat on bird seed.,The squirrel ate bird seed from a feeder.,The squirrel found no food and grew thin.
663,I hated my wife.,I realized that I wanted a divorce.,Hatred leads to wanting marriage dissolution.,Hatred can sometimes strengthen marital commitment.
664,Gina was hungry.,So Gina suffered from stomachaches.,Hunger leads to overeating causing stomach pain.,Hunger was satisfied without any discomfort.
665,Linda was a terrible cook.,"After a few months, all her friends agreed that she was a great cook!",Linda practiced cooking and improved her skills.,Linda's cooking remained consistently terrible.
666,Our dinner was simple tonight.,I thanked her for making dinner.,A simple dinner still deserves gratitude for the effort.,A simple dinner might not warrant any expressed thanks.
667,June was in a bad accident.,After several months she has much less of a limp.,A bad accident can cause a limp that improves over time.,A bad accident can cause permanent damage preventing improvement.
668,Bill was poor.,Bill started making much better money.,Bill found a new high-paying job.,Bill remained in a low-wage position.
669,Ross bought a refurbished coffee maker online.,Ross got a full refund and didn't have to ship out the broken unit.,The refurbished coffee maker arrived broken.,The coffee maker functioned perfectly upon arrival.
670,On tally went to the beach.,She finally sold it to a couple for five dollars.,Tally found a seashell and later sold it.,Tally enjoyed the beach and kept her souvenir.
671,Jesse was a hair stylist.,One client gave her a $1000 tip and made her happy.,A generous client left a large tip.,No client left a large tip.
672,Ed is a big fan of trance music.,She was more into rock and roll.,Ed's trance fandom suggests other music preferences.,Ed's trance fandom contradicts rock and roll preference.
673,A group of guys threw a girl in a ditch.,She went and hunted them one by one.,The girl sought revenge after the ditch incident.,The girl left the area after the ditch incident.
674,"I had a great time on my birthday, with emails and cards from friends.",I opened the front door and everyone laughed with surprise.,Friends secretly gathered outside for a surprise birthday party.,Birthday greetings arrived only through digital and postal messages.
675,Rachel had only been with her boyfriend a few weeks.,They regretted moving in.,Short relationships often lack readiness for cohabitation.,New couples can be excited to live together.
676,"Cara was having dinner guests, and she was nervous.","After dinner, they revealed that she had thoroughly impressed them!",Nervousness led to exceptional effort and success.,Nervousness caused mistakes and disappointment.
677,Our family went to church last Sunday.,It wasn't that bad and we went out to eat after.,Church attendance was pleasant followed by a meal.,Church was terrible so everyone went home.
678,Dean always liked children.,They both decided to have a child and raise a family together.,Dean's fondness for children supports family planning.,Dean's fondness for children does not guarantee joint decisions.
679,Todd played hockey.,Todd's knees shook as he skated because he was nervous.,"Hockey involves skating, and shaking knees indicate nervousness.","Hockey involves skating, and shaking knees indicate physical exertion."
680,Gina was playing tennis with Tim.,He told Gina to go away since he thought that she was annoyed by him.,Tim perceived Gina's annoyance and asked her to leave.,Tim enjoyed the game and wanted Gina to stay.
681,Marsha was making brownies for a dinner party.,There was no dessert for the dinner party.,Brownies were not completed or served.,Brownies are a dessert for the party.
682,Amy is enrolled in an advanced Plant Biology course.,Amy then failed the test because she did not prepare.,Advanced courses require preparation to pass tests.,Enrollment indicates consistent academic success and passing.
683,Freddy has worked at the pizza shop for many Year's.,Now Freddy's pizza tossing dreams have come true.,Long experience leads to achieving pizza tossing dreams.,Long experience leads to abandoning pizza tossing dreams.
684,Joy brought her favorite mug with here to the coffee shop.,They cleaned her mug for her and gave it back.,The coffee shop staff cleaned the mug.,The coffee shop staff kept the mug.
685,Marshall was nervous about the big test.,That gave him confidence and he passed the test.,Nervousness motivated focused study leading to success.,Nervousness caused poor performance and test failure.
686,Emma insisted she wanted to cook dinner.,"Luckily, Tim had preemptively ordered a pizza.","Emma's cooking plans failed, requiring Tim's pizza order.",Emma's insistence meant cooking proceeded without pizza.
687,Terry was going to quit cigarettes.,He was over cigarettes.,Quitting cigarettes indicates being over them.,Quitting cigarettes could mean starting a new habit.
688,Richard was scared of caves.,Richard made it out alive but he almost fainted.,Fear caused extreme distress yet survival occurred.,Fear prevented entry so no distress occurred.
689,Mother bear couldn't rescue her cubs from the garbage dumpster.,Mother and cubs reunite and walk away together.,Another bear rescues the cubs from the dumpster.,The cubs remain trapped inside the dumpster.
690,Cathy was riding her bike through her neighborhood.,She bought it and put it on her bike.,Cathy purchased an item and attached it.,Cathy already owned everything on the bike.
691,John plays lots of video games with his friends.,This causes John to lose lots of good friends.,"Excessive gaming strains friendships, leading to loss.","Shared gaming strengthens bonds, preserving good friendships."
692,May was having breakfast with her husband.,May was hopeful Lucy's good mood would remain.,May observed Lucy's good mood during breakfast.,May was indifferent about Lucy's mood.
693,Bert was working the grill at his restaurant.,Bert quickly removed the burned food and replaced it.,Grill work requires monitoring to prevent burning food.,Grill work can sometimes ignore minor burning issues.
694,Red went to the bathroom to shave.,Red cleaned the mirror again before he left the bathroom.,Shaving often requires a clear mirror.,Shaving does not require cleaning the mirror.
695,Bob loved to rock climb.,He fell to his death.,Rock climbing involves dangerous falls.,Rock climbing requires safety equipment.
696,Jillian was receiving tons of mysterious gifts.,"Finally, she caught the person in the act, and it was her neighbor.",The gift giver was caught and identified as the neighbor.,The caught person was actually a secret admirer.
697,Tim had smoked for many Year's.,In a few months he had quit for good!,Long-term smoking can be overcome quickly.,Many years of smoking often leads to relapse.
